date,dis,number,pm25,pm10,o3,no2,so2,co,tm,rh,ph
2013/3/3,SIHD,4,62.19130435,89.85585586,92.33333333,64.50243902,36.39130435,0.901652174,5.3,52,1
2013/3/4,SIHD,7,120.4375,185.0732759,97.94444444,95.04166667,56.51851852,1.309935185,10.2,54,0
2013/3/5,SIHD,7,150.0708333,224.6333333,123.2083333,85.72222222,46.38425926,1.356648148,11.6,63,0
2013/3/6,SIHD,8,86.39316239,168.8247863,155.5972222,77.7,32.05769231,0.987928571,15.4,42,0
2013/3/7,SIHD,9,151.8981481,254.0328638,160.8472222,95.42631579,57.36979167,1.394097297,16.8,50,0
2013/3/8,SIHD,5,160.6064815,247.2232558,150.5625,108.9005236,48.02094241,1.68427381,18.7,45,0
2013/3/9,SIHD,8,125.3904762,189.2966507,193.765625,92.31182796,43.30645161,1.408938272,22.2,39,1
2013/3/10,SIHD,11,47.12254902,142.6551724,217.921875,26.61111111,13.36666667,0.826467949,8.4,62,1
2013/3/11,SIHD,8,21.46491228,44.71052632,89.45070423,45.13930348,13.77560976,0.790574586,7.2,74,0
2013/3/12,SIHD,14,44.50442478,77.79090909,102.5972222,48.140625,18.02487562,0.969870787,14.7,67,0
2013/3/13,SIHD,6,45.7257384,65.29370629,109.4166667,39.58962264,15.85648148,1.018677083,7.7,75,0
2013/3/14,SIHD,8,25.96860987,47.44594595,94.29166667,32.35748792,14.63285024,0.713755435,5.4,62,0
2013/3/15,SIHD,10,37.125,55.29059829,102.0277778,43.62149533,14.14351852,0.846435484,8.3,70,0
2013/3/16,SIHD,10,48.63559322,67.08064516,111.5555556,52.35046729,17.38888889,0.781338542,12.6,76,1
2013/3/17,SIHD,12,53.50761421,62.80232558,92,51.83240223,14.58888889,1.00160625,14.8,85,1
2013/3/18,SIHD,12,48.80909091,75.02777778,70.22222222,57.14141414,25.64646465,1.358011364,15.2,70,0
2013/3/19,SIHD,14,70.7,87.85714286,NA,49.22222222,24.44444444,1.470875,17,62,0
2013/3/20,SIHD,11,54.52142857,66.6302521,NA,36.52631579,17.15037594,1.470875,9.7,73,0
2013/3/21,SIHD,7,23.74782609,44.96521739,NA,32.35652174,15.18695652,NA,7.7,59,0
2013/3/22,SIHD,7,67.7,77.82,NA,51.93809524,23.09047619,NA,12.5,76,0
2013/3/23,SIHD,11,56.48947368,73.54210526,NA,35.12105263,13.95263158,NA,9.9,80,1
2013/3/24,SIHD,11,66.1588785,72.43877551,NA,37.70616114,11.68720379,0.950722222,9.4,82,1
2013/3/25,SIHD,14,52.57142857,65.7414966,91.85714286,29.86394558,16.02040816,0.797746032,7,57,0
2013/3/26,SIHD,4,17.88304094,35.03067485,71.2173913,33.61643836,12.6442953,0.676845588,8,65,0
2013/3/27,SIHD,12,49.98823529,69.13461538,30.53488372,59.0472973,18.65540541,0.830702703,9.9,77,0
2013/3/28,SIHD,8,75.21693122,97.31428571,89.03125,59.14457831,24.63473054,0.947720238,12.6,73,0
2013/3/29,SIHD,9,35.93706294,56.77692308,86.58928571,41.34375,15.3203125,0.7323125,10,70,0
2013/3/30,SIHD,13,26.07731959,52.8042328,94.8125,41.22093023,14.81976744,0.669482558,12.1,58,1
2013/3/31,SIHD,7,33.21395349,50.8125,112.640625,29.42105263,13.78010471,0.67878534,10.2,71,1
2013/4/1,SIHD,4,53.552,84.192,105.877193,48.38317757,20.64545455,0.852845455,13.4,66,0
2013/4/2,SIHD,8,58.22727273,80.54368932,110.9411765,51.86597938,23.2244898,1.08344898,11.7,61,0
2013/4/3,SIHD,8,37.69312169,57.1626506,93.54545455,47.01807229,15.78571429,0.761928571,11.9,53,0
2013/4/4,SIHD,13,31.52358491,41.25,90.2,25.19230769,11.40425532,0.772797872,13.7,75,1
2013/4/5,SIHD,9,24.34299517,29.46969697,72.66071429,35.66847826,10.79347826,0.856054348,14.8,88,1
2013/4/6,SIHD,6,37.2464455,62.86029412,81.453125,29.73913043,17.06417112,0.846877005,10,64,1
2013/4/7,SIHD,10,63.39285714,88.20754717,105.75,55.68707483,35.69127517,1.044959732,10.9,42,0
2013/4/8,SIHD,6,71.42777778,102.0304878,143.7142857,59.89403974,29.00625,1.01041875,14.8,50,0
2013/4/9,SIHD,10,58.48611111,135.8921569,146.3125,51.37894737,29.36649215,0.987,13.8,40,0
2013/4/10,SIHD,8,51.72727273,136.1020408,118.421875,51.71511628,30.16477273,0.899954545,13.4,33,0
2013/4/11,SIHD,8,78.71578947,141.5752688,82.03508772,65.78235294,46.68235294,NA,13.3,48,0
2013/4/12,SIHD,7,97.53216374,140.6646341,109.8958333,71.70394737,49.7987013,NA,15.2,46,0
2013/4/13,SIHD,9,89.88414634,132.5033113,124,58.83892617,34.29333333,NA,19.7,40,1
2013/4/14,SIHD,8,63.25657895,118.2739726,108.7142857,51.34848485,39.52631579,0.899977444,19.6,39,1
2013/4/15,SIHD,5,94.54913295,141.9018405,191.5,54.43708609,30.88157895,1.010849673,21,47,0
2013/4/16,SIHD,11,56.00925926,112.8356808,141.03125,69.65425532,34.31413613,0.959,23.7,34,0
2013/4/17,SIHD,7,96.49268293,150.3315217,84.43103448,74.26666667,29.8839779,1.25181768,16.3,72,0
2013/4/18,SIHD,10,73.84761905,95.15068493,94.05,45.68333333,16.59459459,0.95744086,13.7,77,0
2013/4/19,SIHD,8,27.11574074,55.34328358,100.390625,29.88770053,13.21465969,0.695901042,11.5,54,0
2013/4/20,SIHD,14,25.04166667,43.64893617,82.96875,32.77419355,10.85863874,0.865285714,10.6,80,1
2013/4/21,SIHD,9,55.67326733,68.84939759,121.9180328,34.91712707,17.01621622,NA,10.3,57,1
2013/4/22,SIHD,5,47.85789474,62.50318471,132.8076923,32.38068182,16.37142857,NA,12.8,61,0
2013/4/23,SIHD,11,80.21428571,57.92537313,27.5625,52.25118483,18.62844037,1.19795,15.2,79,0
2013/4/24,SIHD,8,101.0772947,104.7647059,65.35714286,51.05022831,24.84545455,1.072954545,14.6,73,0
2013/4/25,SIHD,9,103.3207547,153.412844,96.6,50.52083333,31.35416667,0.985033333,17.2,60,0
2013/4/26,SIHD,14,57.84057971,94.29479769,106.925,58.77826087,21.82608696,0.706491304,17.2,39,0
2013/4/27,SIHD,6,45.09615385,81.57368421,108.6,38.80416667,18.925,0.585041667,21.4,31,0
2013/4/28,SIHD,11,37.1682243,56.95348837,100.85,29.85,14.3125,0.551258333,22.1,61,0
2013/4/29,SIHD,12,89.45098039,126.6981132,113.5166667,32.88235294,19.79411765,0.749729412,20.1,71,1
2013/4/30,SIHD,16,36.12206573,53.29906542,86.5,34.64583333,12.0625,0.621441667,16.3,60,1
2013/5/1,SIHD,10,38.72769953,67.38674033,100.225,39.05416667,18.09583333,0.616291667,17.5,44,1
2013/5/2,SIHD,5,37.28703704,46.125,95.7,29.40833333,12.54166667,0.582666667,16.1,58,0
2013/5/3,SIHD,5,41.29326923,56.93283582,94.0375,25.9125,10.62083333,0.53815,17.8,54,0
2013/5/4,SIHD,9,41.24242424,53.42253521,78.8125,26.73333333,11.55833333,0.5118125,17.3,72,1
2013/5/5,SIHD,7,46.671875,58.50420168,96.125,20.05416667,9.091666667,0.459583333,18.3,66,1
2013/5/6,SIHD,4,51.01630435,62.07017544,52.88571429,25.34782609,10.0173913,0.494765217,17.7,77,0
2013/5/7,SIHD,10,47.58333333,57.37037037,90.375,21.74166667,9.345833333,0.513354167,19.6,69,0
2013/5/8,SIHD,2,37.41610738,52.1875,47,20.06,8.44,0.46184,18.3,73,0
2013/5/9,SIHD,4,47.63372093,55.22826087,29.31428571,30.65,8.045454545,0.578281818,21.7,84,0
2013/5/10,SIHD,9,112.5792683,171.6346154,45.92,35.75714286,19.25238095,1.023219048,20.3,77,0
2013/5/11,SIHD,3,148.3141361,176.7714286,111.65,44.62916667,19.99583333,0.980275,22.1,68,1
2013/5/12,SIHD,11,116.6358382,139.7631579,99.95,29.02083333,15.62083333,0.627245833,24.7,51,1
2013/5/13,SIHD,6,63.06164384,90.12149533,85.73333333,20.81904762,10.32380952,0.40112381,24.4,58,0
2013/5/14,SIHD,2,40.6344086,55.27586207,76.1,15.04285714,8.664285714,0.416307143,24.6,67,0
2013/5/15,SIHD,7,28.81767956,36.88888889,42.375,19.19130435,5.830434783,0.471021739,21.7,85,0
2013/5/16,SIHD,4,18.46486486,28.73267327,38.325,17.02916667,5.408333333,0.535595833,19.4,89,0
2013/5/17,SIHD,7,26.93333333,39.97037037,63.94285714,18.92173913,5.134782609,0.537021739,19.2,89,0
2013/5/18,SIHD,8,44.68156425,50.75,44.0625,28.21304348,6.765217391,0.708365217,20.8,88,1
2013/5/19,SIHD,6,91.63043478,118.7802198,105.9428571,29.96086957,14.69565217,0.828552174,21.5,69,1
2013/5/20,SIHD,9,116.8631579,146.8979592,137.7375,56.45833333,22.51666667,0.924708333,24,64,0
2013/5/21,SIHD,8,102.0138889,134.3545455,98.9,44.56842105,17.06842105,0.794878947,24.8,54,0
2013/5/22,SIHD,11,36.376,51.23728814,83.8625,18.12142857,9.45,0.629728571,23.8,74,0
2013/5/23,SIHD,6,37.97209302,52.56818182,68.9875,20.74583333,6.766666667,0.616891667,22.2,84,0
2013/5/24,SIHD,4,58.06944444,71.57861635,85.925,20.5875,8.966666667,0.6103875,24.4,74,0
2013/5/25,SIHD,6,36.0462963,57.57647059,98.4625,20.62916667,9.454166667,0.453208333,25.3,62,1
2013/5/26,SIHD,4,40.97685185,63.64736842,74.275,12.45416667,8.25,0.4954,23.3,73,1
2013/5/27,SIHD,5,32.11111111,40.90714286,53.95,25.45833333,8.191666667,0.669775,23.6,80,0
2013/5/28,SIHD,10,60.16901408,81.59235669,93.175,33.11666667,14.27083333,0.7167125,24,65,0
2013/5/29,SIHD,13,106.7843137,119.9708738,138.35,40.1625,18.83333333,0.8282,24.6,70,0
2013/5/30,SIHD,6,42.65277778,37.77966102,58.5625,28.67083333,10.67083333,0.579783333,18.5,80,0
2013/5/31,SIHD,4,38.87142857,55.29090909,57.35,36.54166667,7.8625,0.634383333,19.6,88,0
2013/6/1,SIHD,8,91.39915966,114.3653846,72.5625,49.0375,17.8125,1.030945833,20.8,83,1
2013/6/3,SIHD,7,62.89686099,78.72440945,133.1,33.90434783,12.02608696,0.685265217,21.5,72,0
2013/6/4,SIHD,6,31.46976744,47.44117647,78.1875,18.95833333,8.233333333,0.50115,22.3,73,0
2013/6/5,SIHD,11,27.85844749,40.37086093,60.8375,17.09166667,8.725,0.509779167,24.4,76,0
2013/6/6,SIHD,3,22.02118644,36.27218935,77.6875,16.6375,8.45,0.57575,24.8,72,0
2013/6/7,SIHD,2,15.87916667,20.91452991,66.675,14.175,7.1875,0.545075,22.4,83,0
2013/6/8,SIHD,5,31.28333333,39.05769231,64.3875,31.07083333,10.92083333,0.671091667,21.5,87,0
2013/6/9,SIHD,3,42.75663717,51.78409091,44.4625,28.50833333,11.44166667,0.706604167,20.2,88,0
2013/6/10,SIHD,6,34.62083333,40.83211679,88.025,23.85,10.14166667,0.589820833,21.7,78,1
2013/6/11,SIHD,12,118.3819742,140.7207792,98.325,48.54166667,22.88333333,0.896754167,22,73,1
2013/6/12,SIHD,9,122.9066667,148.3,73.2375,37.71304348,20.86086957,0.947378261,21.3,75,1
2013/6/13,SIHD,6,69.45833333,69.60869565,65.8625,35.80416667,13.44583333,0.8044,20.6,80,0
2013/6/14,SIHD,7,37.2,35.17105263,76.2125,28.475,9.225,0.723470833,21.3,83,0
2013/6/15,SIHD,7,30.57916667,32.78787879,35.65,28.85416667,8.604166667,0.601191667,23.6,87,1
2013/6/16,SIHD,7,51.98672566,63.02542373,80.325,29.99583333,8.7625,0.6510375,26.4,82,1
2013/6/17,SIHD,8,79.71489362,105.8712871,154.175,42.90833333,14.72916667,0.790783333,30.7,66,0
2013/6/18,SIHD,8,78.86538462,107.6163522,116.7428571,44.36666667,15.78095238,0.791185714,32.4,60,0
2013/6/19,SIHD,9,98.70666667,128.1367521,75.725,42.98695652,15.5,0.794365217,29.8,71,0
2013/6/20,SIHD,10,70.9125,65.625,52.1,29.27916667,8.833333333,0.522075,24.4,80,0
2013/6/21,SIHD,9,49.21518987,58.21323529,85.2125,26.04166667,8.475,0.462891667,25.4,67,0
2013/6/22,SIHD,5,64.0083682,68.58928571,105.7,20.86666667,8.479166667,0.464766667,26.1,73,1
2013/6/23,SIHD,5,77.76495726,104.0535714,105.15,28.20416667,11.33333333,0.49385,27.9,77,1
2013/6/24,SIHD,9,61.33628319,72.44086022,40.5,33.2,7.3625,0.6465,25.6,83,0
2013/6/25,SIHD,4,47.92056075,56.33333333,39.9375,21.9875,6.179166667,0.374929167,24.4,86,0
2013/6/26,SIHD,10,28.96428571,32.51190476,40.85,15.04583333,4.258333333,0.325158333,23,82,0
2013/6/27,SIHD,4,23.31875,19.74468085,40.15,15.1375,4.133333333,0.310995833,22.8,85,0
2013/6/28,SIHD,4,20.92349727,27.45217391,59.925,15.775,4.541666667,0.364641667,22.8,79,0
2013/6/29,SIHD,9,33.78488372,37.21276596,52.6,18,5.308333333,0.391858333,24.2,81,1
2013/6/30,SIHD,11,66.02777778,78,94.55714286,22.84782609,10.7,0.531621739,27.6,72,1
2013/7/1,SIHD,7,91.63687151,120.247619,119.2,32.96086957,11.4173913,0.661365217,30.4,67,0
2013/7/2,SIHD,6,65.77368421,87.05333333,111.475,26,10.85416667,0.552366667,33,55,0
2013/7/3,SIHD,9,50.82065217,78.63478261,75.7625,24.55652174,14.8,0.49956087,33.3,51,0
2013/7/4,SIHD,10,51.98958333,79.43243243,100.2,23.45,16.05416667,0.464070833,33.6,48,0
2013/7/5,SIHD,7,42.69791667,70.168,51.075,25.35833333,14.01666667,0.5116625,29.3,65,0
2013/7/6,SIHD,5,46.10614525,66.92622951,57.35,23.2625,5.8,0.531533333,26.8,82,1
2013/7/7,SIHD,6,45.77456647,77.88888889,86.0875,18.02916667,9.979166667,0.460758333,30.7,65,1
2013/7/8,SIHD,6,42.70526316,72.99285714,95.85,17.27083333,13.21666667,0.424770833,32.8,56,0
2013/7/9,SIHD,7,46.31481481,71.83333333,139.075,20.5375,13.14166667,0.4273,33.1,54,0
2013/7/10,SIHD,9,45.40178571,71.84795322,139.7125,25.27916667,14.27916667,0.501870833,32.5,56,0
2013/7/11,SIHD,4,39.89867841,67.6969697,154.6714286,25.73478261,13.35652174,0.453882609,32.6,55,0
2013/7/12,SIHD,9,21.98230088,44.13690476,50.45714286,11.14782609,7.456521739,0.373986957,30.2,59,0
2013/7/13,SIHD,10,16.5720339,49.15183246,32.95,5.241666667,4.6875,0.329575,30.1,67,1
2013/7/14,SIHD,9,17.3,48.32240437,51.4625,6.1875,4.975,0.380233333,30.5,63,1
2013/7/15,SIHD,10,19.00900901,42.8375,69.7125,12.37826087,9.613043478,0.481,30.8,62,0
2013/7/16,SIHD,8,26.48908297,49.61006289,90.45714286,17.13043478,9.082608696,0.43823913,31.9,56,0
2013/7/17,SIHD,7,27.08810573,47.40372671,94.3375,19.56521739,10.20434783,0.43403913,31.5,57,0
2013/7/18,SIHD,6,16.93333333,42.31818182,59.38333333,14.01904762,8.104761905,0.383233333,30.8,56,0
2013/7/19,SIHD,2,17.43333333,42.5,63.375,14.79166667,8.204166667,0.401708333,30.7,57,0
2013/7/20,SIHD,9,33.40756303,60.27586207,119.8375,22.80416667,9.320833333,0.537954167,30.5,64,1
2013/7/21,SIHD,2,43.04405286,67.76056338,107.7125,23.80434783,9.586956522,0.576504348,30.7,66,1
2013/7/22,SIHD,4,30.91780822,54.14788732,94.04285714,21.03636364,9.8,0.544345455,30.8,62,0
2013/7/23,SIHD,5,38.55882353,60.3125,109.9625,23.075,11.02083333,0.518358333,33.3,53,0
2013/7/24,SIHD,5,45.74568966,73.26451613,110.7125,27.3625,11.15,0.5334625,33.9,50,0
2013/7/25,SIHD,2,62.1460177,98.20529801,114.025,32.12083333,14.6,0.590025,34.6,51,0
2013/7/26,SIHD,7,81.11206897,125.51875,178.1125,41.25833333,15.2125,0.721441667,33.8,56,0
2013/7/27,SIHD,7,92.67234043,138.0493827,178.55,39.1,16.825,0.821983333,32.8,57,1
2013/7/28,SIHD,6,52.99166667,74.27131783,104.425,26.2875,12.1375,0.55535,33.9,51,1
2013/7/29,SIHD,8,53.20264317,85.22297297,119.3375,29.72916667,14.575,0.617941667,34.7,49,0
2013/7/30,SIHD,10,53.04326923,83.25862069,87.64285714,23.93478261,13.4173913,0.484995652,35,48,0
2013/7/31,SIHD,5,49.43055556,77.26119403,119.3625,24.66666667,15.39583333,0.4794125,32.3,57,0
2013/8/1,SIHD,11,41.38028169,66.67114094,86.2875,28.17083333,10.6,0.526654167,30,65,0
2013/8/2,SIHD,3,26.04954955,48.12025316,50.95,20.2875,9.395833333,0.439616667,30.6,64,0
2013/8/3,SIHD,6,27.38695652,42.35416667,88.87142857,21.89565217,10.57826087,0.533004348,32.2,57,1
2013/8/4,SIHD,10,32.03043478,51.90116279,94.2875,25.8173913,13.05652174,0.583573913,30.9,63,1
2013/8/5,SIHD,10,47.12446352,69.12698413,124.675,25.97916667,10.5125,0.629816667,31.7,64,0
2013/8/6,SIHD,6,54.71238938,89.65277778,141.2125,28.13043478,15.10434783,0.6399,34.8,48,0
2013/8/7,SIHD,6,70.41013825,108.0533333,191.5857143,30.31363636,21.01363636,0.740959091,34.6,49,0
2013/8/8,SIHD,9,66.1173913,102.4671053,150.1857143,29.99130435,16.47391304,0.63966087,34.9,47,0
2013/8/9,SIHD,11,72.58585859,106.5512821,NA,35.3,17.82,0.70994,34.1,54,0
2013/8/10,SIHD,12,59.8,95.46875,151.3625,26.13125,14.41875,0.60584375,33.7,55,1
2013/8/11,SIHD,2,57.6754386,81.03144654,153.7875,24.06086957,13.33043478,0.581008696,32.2,64,1
2013/8/12,SIHD,12,20.09166667,41.16666667,80.6125,17.32083333,10.2125,0.427983333,32,57,0
